The Way To Read This is A      A      A      A    -> B
                        B      B      B      B    -> C
this means that the 4 data descriptors are from the previous hands and are used to imply the C and does not include the C in their tallies

STREAK COUNT BANK LAST10 BANK LAST20 BANK LAST30       LABEL
           1         0.4        0.45    0.466667           0
           1         0.5        0.45    0.466667           1
           1         0.5         0.4    0.466667           1
           2         0.4         0.4    0.466667           1
           3         0.3         0.4    0.433333           1
           4         0.3         0.4    0.433333           0
           1         0.4         0.4    0.466667           1
           1         0.4         0.4    0.433333           1
           2         0.3        0.35         0.4           0
           1         0.3        0.35         0.4           2
           1         0.3        0.35         0.4           2
           2         0.2        0.35    0.366667           0
           1         0.3         0.4    0.366667           1
           1         0.3        0.35    0.366667           1
           2         0.3         0.3    0.366667           1
           3         0.3         0.3    0.366667           0
           1         0.3        0.35    0.366667           1
           1         0.3        0.35    0.366667           1
           2         0.3         0.3    0.333333           1
           3         0.2        0.25         0.3           0
           1         0.3         0.3    0.333333           1
           1         0.3        0.25    0.333333           0
           1         0.3         0.3    0.366667           0
           2         0.4        0.35    0.366667           0
           3         0.5         0.4    0.366667           2
           1         0.5         0.4    0.366667           0
           1         0.5         0.4         0.4           0
           2         0.6        0.45    0.433333           0
           3         0.7         0.5    0.433333           0
The Way To Read This is A      A      A      A    -> B
                        B      B      B      B    -> C
this means that the 4 data descriptors are from the previous hands and are used to imply the C and does not include the C in their tallies

STREAK COUNT BANK LAST10 BANK LAST20 BANK LAST30       LABEL
           0           0           0           0           1
           1           0           0           0           1
           2           0           0           0           1
           3           0           0           0           2
           1           0           0           0           1
           1           0           0           0           0
           1    0.142857    0.142857    0.142857           0
           2        0.25        0.25        0.25           0
           3    0.333333    0.333333    0.333333           0
           4         0.4         0.4         0.4           1
           1         0.4    0.363636    0.363636           1
           2         0.4    0.333333    0.333333           0
           1         0.5    0.384615    0.384615           2
           1         0.5    0.357143    0.357143           0
           1         0.6         0.4         0.4           1
           1         0.6       0.375       0.375           0
           1         0.6    0.411765    0.411765           2
           1         0.5    0.388889    0.388889           1
           1         0.4    0.368421    0.368421           1
           2         0.3        0.35        0.35           1
           3         0.3        0.35    0.333333           0
           1         0.4         0.4    0.363636           2
           1         0.3         0.4    0.347826           0
           1         0.4        0.45       0.375           1
           1         0.3        0.45        0.36           1
           2         0.3        0.45    0.346154           1
           3         0.2         0.4    0.333333           1
           4         0.2        0.35    0.321429           1
           5         0.2         0.3    0.310345           0
           1         0.3         0.3    0.333333           0
           2         0.4        0.35    0.366667           1
           1         0.3        0.35    0.366667           1
           2         0.3         0.3    0.366667           1
           3         0.2         0.3    0.366667           1
           4         0.2        0.25    0.366667           1
           5         0.2        0.25    0.366667           0
           1         0.3        0.25    0.366667           0
           2         0.4         0.3    0.366667           0
           3         0.5        0.35    0.366667           0
           4         0.5         0.4    0.366667           1
           1         0.4         0.4    0.366667           0
           1         0.5         0.4         0.4           0
           2         0.6        0.45         0.4           2
           1         0.6         0.4         0.4           1
           1         0.6         0.4    0.366667           0
           1         0.7        0.45         0.4           1
           1         0.6        0.45    0.366667           0
           1         0.6         0.5         0.4           1
           1         0.5         0.5         0.4           1
           2         0.4        0.45         0.4           0
           1         0.5        0.45    0.433333           0
           2         0.5         0.5    0.433333           0
           3         0.5        0.55    0.466667           0
           4         0.6         0.6    0.466667           0
           5         0.7        0.65         0.5           0
           6         0.7         0.7    0.533333           1
           1         0.7        0.65    0.533333           1
           2         0.6         0.6    0.533333           1
           3         0.6        0.55    0.533333           0
           1         0.7        0.55    0.533333           0
           2         0.7         0.6    0.533333           0
           3         0.7         0.6    0.566667           1
           1         0.6        0.55    0.566667           1
           2         0.5        0.55    0.566667           1
The Way To Read This is A      A      A      A    -> B
                        B      B      B      B    -> C
this means that the 4 data descriptors are from the previous hands and are used to imply the C and does not include the C in their tallies

STREAK COUNT BANK LAST10 BANK LAST20 BANK LAST30       LABEL
           0           0           0           0           1
           1           0           0           0           1
           2           0           0           0           1
           3           0           0           0           1
           4           0           0           0           0
           1    0.166667    0.166667    0.166667           0
           2    0.285714    0.285714    0.285714           1
           1        0.25        0.25        0.25           0
           1    0.333333    0.333333    0.333333           1
           1         0.3         0.3         0.3           0
           1         0.4    0.363636    0.363636           1
           1         0.4    0.333333    0.333333           1
           2         0.4    0.307692    0.307692           1
           3         0.4    0.285714    0.285714           1
           4         0.4    0.266667    0.266667           0
           1         0.4      0.3125      0.3125           0
           2         0.4    0.352941    0.352941           1
           1         0.4    0.333333    0.333333           0
           1         0.4    0.368421    0.368421           1
           1         0.4        0.35        0.35           0
           1         0.4         0.4    0.380952           1
           1         0.4         0.4    0.363636           0
           1         0.5        0.45    0.391304           2
           1         0.5        0.45       0.375           2
           2         0.5        0.45        0.36           1
           1         0.4         0.4    0.346154           2
           1         0.3        0.35    0.333333           0
           1         0.4         0.4    0.357143           0
           2         0.4         0.4     0.37931           1
           1         0.4         0.4    0.366667           0
           1         0.4         0.4         0.4           0
           2         0.5        0.45    0.433333           1
           1         0.4        0.45    0.433333           1
           2         0.4        0.45    0.433333           0
           1         0.5         0.5    0.466667           1
           1         0.5        0.45    0.433333           0
           1         0.6        0.45    0.433333           0
           2         0.6         0.5    0.466667           0
           3         0.6         0.5    0.466667           1
           1         0.6         0.5    0.466667           1
           2         0.5        0.45    0.433333           0
           1         0.5         0.5    0.466667           2
           1         0.5        0.45    0.466667           1
           1         0.5        0.45    0.466667           0
           1         0.5         0.5         0.5           0
           2         0.6        0.55         0.5           1
           1         0.5        0.55    0.466667           0
           1         0.5        0.55         0.5           2
           1         0.4         0.5    0.466667           2
           2         0.4         0.5    0.466667           1
           1         0.4        0.45    0.433333           1
           2         0.3         0.4    0.433333           2
           1         0.3         0.4         0.4           0
           1         0.4        0.45    0.433333           1
           1         0.3         0.4    0.433333           1
           2         0.2         0.4    0.433333           1
           3         0.2        0.35    0.433333           2
           1         0.1         0.3         0.4           1
           1         0.1        0.25    0.366667           0
           1         0.2         0.3         0.4           2
           1         0.2         0.3    0.366667           0
           1         0.3         0.3    0.366667           1
           1         0.3         0.3    0.366667           1
           2         0.2         0.3    0.366667           1
           3         0.2        0.25    0.333333           0
           1         0.3        0.25    0.366667           0
           2         0.4         0.3    0.366667           1
           1         0.4        0.25    0.333333           1
           2         0.4        0.25         0.3           0
           1         0.4         0.3    0.333333           0
           2         0.5        0.35    0.366667           1
           1         0.4        0.35    0.333333           0
           1         0.5         0.4    0.366667           0
           2         0.6         0.4         0.4           2
The Way To Read This is A      A      A      A    -> B
                        B      B      B      B    -> C
this means that the 4 data descriptors are from the previous hands and are used to imply the C and does not include the C in their tallies

STREAK COUNT BANK LAST10 BANK LAST20 BANK LAST30       LABEL
           0           0           0           0           0
           1         0.5         0.5         0.5           0
           2    0.666667    0.666667    0.666667           1
           1         0.5         0.5         0.5           1
           2         0.4         0.4         0.4           1
           3    0.333333    0.333333    0.333333           2
           1    0.285714    0.285714    0.285714           1
           1        0.25        0.25        0.25           1
           2    0.222222    0.222222    0.222222           1
           3         0.2         0.2         0.2           1
           4         0.2    0.181818    0.181818           1
           5         0.1    0.166667    0.166667           1
           6           0    0.153846    0.153846           1
           7           0    0.142857    0.142857           1
           8           0    0.133333    0.133333           2
           1           0       0.125       0.125           1
           1           0    0.117647    0.117647           0
           1         0.1    0.166667    0.166667           0
           2         0.2    0.210526    0.210526           0
           3         0.3        0.25        0.25           2
           1         0.3        0.25    0.238095           0
           1         0.4        0.25    0.272727           0
           2         0.5        0.25    0.304348           0
           3         0.6         0.3    0.333333           2
           1         0.6         0.3        0.32           0
           1         0.7        0.35    0.346154           0
           2         0.8         0.4     0.37037           1
           1         0.7         0.4    0.357143           0
           1         0.7        0.45     0.37931           0
           2         0.7         0.5         0.4           0
           3         0.8        0.55    0.433333           1
           1         0.7        0.55         0.4           1
           2         0.6        0.55    0.366667           0
           1         0.6         0.6         0.4           0
           2         0.7        0.65    0.433333           0
           3         0.7         0.7    0.466667           1
           1         0.6         0.7    0.466667           0
           1         0.7         0.7         0.5           0
           2         0.7         0.7    0.533333           0
           3         0.7         0.7    0.566667           1
           1         0.6         0.7    0.566667           1
           2         0.6        0.65    0.566667           0
           1         0.7        0.65         0.6           1
           1         0.6         0.6         0.6           0
           1         0.6        0.65    0.633333           1
           1         0.5         0.6    0.633333           1
           2         0.5        0.55    0.633333           1
           3         0.4        0.55         0.6           1
           4         0.3         0.5    0.566667           1
           5         0.2        0.45    0.533333           1
           6         0.2         0.4    0.533333           1
           7         0.2         0.4         0.5           1
           8         0.1         0.4    0.466667           0
           1         0.2         0.4    0.466667           1
           1         0.1        0.35    0.466667           0
           1         0.2        0.35    0.466667           1
           1         0.2        0.35    0.433333           2
           1         0.2         0.3    0.433333           0
           1         0.3         0.3    0.433333           1
           1         0.3        0.25         0.4           0
           1         0.4         0.3         0.4           1
           1         0.4         0.3         0.4           0
           1         0.5         0.3    0.433333           2
           1         0.4         0.3         0.4           0
           1         0.5         0.3         0.4           0
           2         0.5        0.35         0.4           0
           3         0.6         0.4    0.433333           0
The Way To Read This is A      A      A      A    -> B
                        B      B      B      B    -> C
this means that the 4 data descriptors are from the previous hands and are used to imply the C and does not include the C in their tallies

STREAK COUNT BANK LAST10 BANK LAST20 BANK LAST30       LABEL
           0           0           0           0           0
           1         0.5         0.5         0.5           1
           1    0.333333    0.333333    0.333333           0
           1         0.5         0.5         0.5           1
           1         0.4         0.4         0.4           1
           2    0.333333    0.333333    0.333333           0
           1    0.428571    0.428571    0.428571           0
           2         0.5         0.5         0.5           0
           3    0.555556    0.555556    0.555556           0
           4         0.6         0.6         0.6           0
           5         0.7    0.636364    0.636364           0
           6         0.7    0.666667    0.666667           0
           7         0.8    0.692308    0.692308           0
           8         0.8    0.714286    0.714286           0
           9         0.9    0.733333    0.733333           1
           1         0.9      0.6875      0.6875           0
           1         0.9    0.705882    0.705882           0
           2         0.9    0.722222    0.722222           1
           1         0.8    0.684211    0.684211           0
           1         0.8         0.7         0.7           0
           2         0.8        0.75    0.714286           0
           3         0.8        0.75    0.727273           1
           1         0.7        0.75    0.695652           1
           2         0.6         0.7    0.666667           0
           1         0.6        0.75        0.68           0
           2         0.7         0.8    0.692308           1
           1         0.6        0.75    0.666667           1
           2         0.5         0.7    0.642857           0
           1         0.6         0.7    0.655172           1
           1         0.5        0.65    0.633333           1
           2         0.4         0.6    0.633333           0
           1         0.4         0.6    0.633333           1
           1         0.4        0.55    0.633333           1
           2         0.4         0.5         0.6           0
           1         0.4         0.5    0.633333           1
           1         0.3         0.5    0.633333           1
           2         0.3        0.45         0.6           2
           1         0.3         0.4    0.566667           1
           1         0.2         0.4    0.533333           1
           2         0.2        0.35         0.5           0
           1         0.3        0.35         0.5           1
           1         0.2         0.3    0.466667           2
           1         0.2         0.3    0.433333           0
           1         0.3        0.35    0.433333           0
           2         0.3        0.35    0.433333           1
           1         0.3         0.3    0.433333           0
           1         0.4        0.35    0.433333           1
           1         0.4        0.35         0.4           1
           2         0.4         0.3         0.4           1
           3         0.4         0.3    0.366667           1
           4         0.3         0.3    0.333333           1
           5         0.3        0.25         0.3           1
           6         0.3        0.25         0.3           1
           7         0.2        0.25         0.3           1
           8         0.1         0.2    0.266667           1
           9         0.1         0.2    0.233333           1
          10           0         0.2    0.233333           1
          11           0         0.2    0.233333           0
           1         0.1        0.25    0.233333           0
           2         0.2         0.3    0.266667           0
           3         0.3         0.3         0.3           1
           1         0.3         0.3    0.266667           1
           2         0.3         0.3    0.266667           0
           1         0.4         0.3         0.3           0
           2         0.5         0.3         0.3           2
The Way To Read This is A      A      A      A    -> B
                        B      B      B      B    -> C
this means that the 4 data descriptors are from the previous hands and are used to imply the C and does not include the C in their tallies

STREAK COUNT BANK LAST10 BANK LAST20 BANK LAST30       LABEL
           0           0           0           0           0
           1         0.5         0.5         0.5           1
           1    0.333333    0.333333    0.333333           0
           1         0.5         0.5         0.5           0
           2         0.6         0.6         0.6           1
           1         0.5         0.5         0.5           2
           1    0.428571    0.428571    0.428571           0
           1         0.5         0.5         0.5           1
           1    0.444444    0.444444    0.444444           2
           1         0.4         0.4         0.4           0
           1         0.5    0.454545    0.454545           0
           2         0.5         0.5         0.5           0
           3         0.6    0.538462    0.538462           0
           4         0.6    0.571429    0.571429           0
           5         0.6         0.6         0.6           1
           1         0.6      0.5625      0.5625           0
           1         0.7    0.588235    0.588235           1
           1         0.6    0.555556    0.555556           0
           1         0.7    0.578947    0.578947           0
           2         0.8         0.6         0.6           1
           1         0.7         0.6    0.571429           1
           2         0.6        0.55    0.545455           0
           1         0.6         0.6    0.565217           1
           1         0.5        0.55    0.541667           0
           1         0.5        0.55        0.56           0
           2         0.6         0.6    0.576923           0
           3         0.6        0.65    0.592593           0
           4         0.7        0.65    0.607143           1
           1         0.6        0.65    0.586207           1
           2         0.5        0.65    0.566667           0
           1         0.6        0.65         0.6           2
           1         0.6         0.6    0.566667           0
           1         0.6         0.6         0.6           0
           2         0.7         0.6         0.6           1
           1         0.6        0.55    0.566667           0
           1         0.6         0.6         0.6           0
           2         0.6         0.6    0.633333           1
           1         0.5         0.6         0.6           1
           2         0.5        0.55         0.6           0
           1         0.6        0.55    0.633333           0
           2         0.6         0.6    0.633333           1
           1         0.6         0.6         0.6           1
           2         0.5        0.55    0.566667           1
           3         0.4        0.55    0.533333           1
           4         0.4         0.5         0.5           1
           5         0.3        0.45         0.5           0
           1         0.3        0.45         0.5           0
           2         0.4        0.45    0.533333           0
           3         0.5         0.5    0.533333           0
           4         0.5        0.55    0.533333           1
           1         0.4         0.5    0.533333           0
           1         0.5        0.55    0.566667           0
           2         0.6        0.55    0.566667           1
           1         0.6         0.5    0.566667           0
           1         0.7        0.55    0.566667           0
           2         0.8        0.55    0.566667           0
           3         0.8        0.55    0.566667           0
           4         0.8         0.6    0.566667           1
           1         0.7         0.6    0.566667           0
           1         0.7         0.6         0.6           1
           1         0.7        0.55    0.566667           0
           1         0.7         0.6         0.6           0
           2         0.7        0.65         0.6           0
           3         0.8         0.7         0.6           0
           4         0.8        0.75    0.633333           1
           1         0.7        0.75         0.6           0
The Way To Read This is A      A      A      A    -> B
                        B      B      B      B    -> C
this means that the 4 data descriptors are from the previous hands and are used to imply the C and does not include the C in their tallies

STREAK COUNT BANK LAST10 BANK LAST20 BANK LAST30       LABEL
           0           0           0           0           0
           1         0.5         0.5         0.5           0
           2    0.666667    0.666667    0.666667           0
           3        0.75        0.75        0.75           1
           1         0.6         0.6         0.6           0
           1    0.666667    0.666667    0.666667           0
           2    0.714286    0.714286    0.714286           1
           1       0.625       0.625       0.625           0
           1    0.666667    0.666667    0.666667           1
           1         0.6         0.6         0.6           0
           1         0.7    0.636364    0.636364           0
           2         0.7    0.666667    0.666667           1
           1         0.6    0.615385    0.615385           2
           1         0.5    0.571429    0.571429           0
           1         0.6         0.6         0.6           1
           1         0.5      0.5625      0.5625           0
           1         0.5    0.588235    0.588235           1
           1         0.5    0.555556    0.555556           0
           1         0.5    0.578947    0.578947           0
           2         0.6         0.6         0.6           0
           3         0.6        0.65    0.619048           0
           4         0.6        0.65    0.636364           1
           1         0.6         0.6    0.608696           1
           2         0.6        0.55    0.583333           1
           3         0.5        0.55        0.56           1
           4         0.5         0.5    0.538462           1
           5         0.4        0.45    0.518519           1
           6         0.4        0.45         0.5           1
           7         0.3         0.4    0.482759           0
           1         0.3        0.45         0.5           0
           2         0.3        0.45    0.533333           0
           3         0.3        0.45    0.533333           0
           4         0.4         0.5    0.533333           2
           1         0.4         0.5         0.5           0
           1         0.5         0.5    0.533333           0
           2         0.6        0.55    0.533333           1
           1         0.6         0.5         0.5           1
           2         0.6         0.5         0.5           1
           3         0.6        0.45    0.466667           0
           1         0.6        0.45         0.5           1
           1         0.5         0.4    0.466667           0
           1         0.5         0.4    0.466667           1
           1         0.4         0.4    0.466667           1
           2         0.4         0.4    0.466667           0
           1         0.4        0.45    0.466667           1
           1         0.3        0.45    0.466667           1
           2         0.3        0.45    0.433333           1
           3         0.3        0.45    0.433333           1
           4         0.3        0.45         0.4           0
           1         0.3        0.45         0.4           1
           1         0.3         0.4    0.366667           0
           1         0.3         0.4    0.366667           1
           1         0.3        0.35    0.366667           1
           2         0.3        0.35    0.366667           1
           3         0.2         0.3    0.366667           0
           1         0.3         0.3         0.4           0
           2         0.4        0.35    0.433333           0
           3         0.5         0.4    0.466667           0
           4         0.6        0.45         0.5           1
           1         0.5         0.4    0.466667           1
           2         0.5         0.4    0.433333           1
           3         0.4        0.35         0.4           0
           1         0.5         0.4         0.4           1
           1         0.5         0.4         0.4           0
           1         0.6         0.4         0.4           0
           2         0.6        0.45         0.4           1
           1         0.5        0.45         0.4           0
           1         0.5         0.5    0.433333           1
           1         0.4         0.5    0.433333           1
The Way To Read This is A      A      A      A    -> B
                        B      B      B      B    -> C
this means that the 4 data descriptors are from the previous hands and are used to imply the C and does not include the C in their tallies

STREAK COUNT BANK LAST10 BANK LAST20 BANK LAST30       LABEL
           0           0           0           0           0
           1         0.5         0.5         0.5           1
           1    0.333333    0.333333    0.333333           1
           2        0.25        0.25        0.25           1
           3         0.2         0.2         0.2           0
           1    0.333333    0.333333    0.333333           0
           2    0.428571    0.428571    0.428571           0
           3         0.5         0.5         0.5           0
           4    0.555556    0.555556    0.555556           0
           5         0.6         0.6         0.6           0
           6         0.7    0.636364    0.636364           1
           1         0.6    0.583333    0.583333           0
           1         0.7    0.615385    0.615385           1
           1         0.7    0.571429    0.571429           0
           1         0.8         0.6         0.6           2
           1         0.7      0.5625      0.5625           1
           1         0.6    0.529412    0.529412           1
           2         0.5         0.5         0.5           1
           3         0.4    0.473684    0.473684           1
           4         0.3        0.45        0.45           1
           5         0.2        0.45    0.428571           1
           6         0.2         0.4    0.409091           1
           7         0.1         0.4    0.391304           1
           8         0.1         0.4       0.375           1
           9           0         0.4        0.36           1
          10           0        0.35    0.346154           0
           1         0.1        0.35     0.37037           0
           2         0.2        0.35    0.392857           0
           3         0.3        0.35    0.413793           2
           1         0.3         0.3         0.4           1
           1         0.3        0.25         0.4           1
           2         0.3        0.25    0.366667           0
           1         0.4        0.25         0.4           1
           1         0.4        0.25         0.4           0
           1         0.5        0.25    0.433333           0
           2         0.6         0.3    0.433333           0
           3         0.6        0.35    0.433333           1
           1         0.5        0.35         0.4           0
           1         0.5         0.4         0.4           0
           2         0.6        0.45         0.4           0
           3         0.7         0.5         0.4           1
           1         0.7         0.5         0.4           0
           1         0.7        0.55         0.4           0
           2         0.8         0.6    0.433333           1
           1         0.7         0.6         0.4           0
           1         0.7        0.65    0.433333           0
           2         0.7        0.65    0.466667           0
           3         0.8        0.65         0.5           0
           4         0.8        0.65    0.533333           0
           5         0.8         0.7    0.566667           1
           1         0.7         0.7    0.566667           1
           2         0.7         0.7    0.566667           1
           3         0.6        0.65    0.566667           1
           4         0.5        0.65    0.566667           1
           5         0.5         0.6    0.566667           1
           6         0.4        0.55    0.566667           1
           7         0.3         0.5    0.533333           2
           1         0.2         0.5         0.5           0
           1         0.2         0.5         0.5           1
           1         0.1        0.45         0.5           1
           2         0.1         0.4         0.5           0
           1         0.2        0.45    0.533333           0
           2         0.3        0.45    0.533333           1
           1         0.3         0.4    0.533333           1
           2         0.3         0.4         0.5           1
           3         0.3        0.35    0.466667           0
           1         0.4        0.35    0.466667           0
           2         0.5        0.35         0.5           1
           1         0.4         0.3    0.466667           2
The Way To Read This is A      A      A      A    -> B
                        B      B      B      B    -> C
this means that the 4 data descriptors are from the previous hands and are used to imply the C and does not include the C in their tallies

STREAK COUNT BANK LAST10 BANK LAST20 BANK LAST30       LABEL
           0           0           0           0           0
           1         0.5         0.5         0.5           1
           1    0.333333    0.333333    0.333333           1
           2        0.25        0.25        0.25           0
           1         0.4         0.4         0.4           1
           1    0.333333    0.333333    0.333333           2
           1    0.285714    0.285714    0.285714           1
           1        0.25        0.25        0.25           1
           2    0.222222    0.222222    0.222222           0
           1         0.3         0.3         0.3           1
           1         0.3    0.272727    0.272727           0
           1         0.3    0.333333    0.333333           0
           2         0.4    0.384615    0.384615           1
           1         0.4    0.357143    0.357143           0
           1         0.4         0.4         0.4           0
           2         0.5      0.4375      0.4375           1
           1         0.5    0.411765    0.411765           1
           2         0.5    0.388889    0.388889           1
           3         0.5    0.368421    0.368421           1
           4         0.4        0.35        0.35           1
           5         0.4        0.35    0.333333           0
           1         0.4        0.35    0.363636           2
           1         0.3        0.35    0.347826           0
           1         0.4         0.4       0.375           1
           1         0.3        0.35        0.36           2
           1         0.2        0.35    0.346154           0
           1         0.3         0.4     0.37037           1
           1         0.3         0.4    0.357143           0
           1         0.4        0.45     0.37931           1
           1         0.4         0.4    0.366667           0
           1         0.5        0.45         0.4           1
           1         0.4         0.4    0.366667           1
           2         0.4        0.35    0.366667           1
           3         0.3        0.35    0.366667           1
           4         0.3         0.3    0.333333           0
           1         0.4         0.3    0.366667           0
           2         0.4        0.35         0.4           1
           1         0.4        0.35         0.4           2
           1         0.3        0.35         0.4           0
           1         0.4         0.4         0.4           0
           2         0.4        0.45    0.433333           1
           1         0.4         0.4         0.4           0
           1         0.5        0.45         0.4           2
           1         0.5         0.4         0.4           1
           1         0.5         0.4    0.366667           1
           2         0.4         0.4    0.333333           0
           1         0.4         0.4    0.366667           0
           2         0.5        0.45         0.4           2
           1         0.5         0.4         0.4           1
           1         0.4         0.4         0.4           0
           1         0.4         0.4    0.433333           1
           1         0.4         0.4         0.4           0
           1         0.4        0.45    0.433333           2
           1         0.4        0.45         0.4           0
           1         0.5         0.5    0.433333           1
           1         0.5        0.45    0.433333           1
           2         0.4         0.4         0.4           0
           1         0.4        0.45    0.433333           2
           1         0.4        0.45         0.4           0
           1         0.5        0.45    0.433333           1
           1         0.4         0.4         0.4           1
           2         0.4         0.4         0.4           0
           1         0.4         0.4    0.433333           1
           1         0.4         0.4    0.433333           0
           1         0.4        0.45    0.466667           1
The Way To Read This is A      A      A      A    -> B
                        B      B      B      B    -> C
this means that the 4 data descriptors are from the previous hands and are used to imply the C and does not include the C in their tallies

STREAK COUNT BANK LAST10 BANK LAST20 BANK LAST30       LABEL
           0           0           0           0           0
           1         0.5         0.5         0.5           2
           1    0.333333    0.333333    0.333333           0
           1         0.5         0.5         0.5           1
           1         0.4         0.4         0.4           1
           2    0.333333    0.333333    0.333333           1
           3    0.285714    0.285714    0.285714           1
           4        0.25        0.25        0.25           1
           5    0.222222    0.222222    0.222222           1
           6         0.2         0.2         0.2           0
           1         0.3    0.272727    0.272727           0
           2         0.3    0.333333    0.333333           1
           1         0.3    0.307692    0.307692           0
           1         0.3    0.357143    0.357143           2
           1         0.3    0.333333    0.333333           0
           1         0.4       0.375       0.375           0
           2         0.5    0.411765    0.411765           0
           3         0.6    0.444444    0.444444           1
           1         0.6    0.421053    0.421053           0
           1         0.7        0.45        0.45           0
           2         0.7         0.5     0.47619           0
           3         0.7         0.5         0.5           0
           4         0.8        0.55    0.521739           0
           5         0.8        0.55    0.541667           1
           1         0.8        0.55        0.52           0
           1         0.8         0.6    0.538462           1
           1         0.7         0.6    0.518519           1
           2         0.6         0.6         0.5           1
           3         0.6         0.6    0.482759           1
           4         0.5         0.6    0.466667           0
           1         0.5         0.6         0.5           1
           1         0.4        0.55    0.466667           1
           2         0.3        0.55    0.466667           1
           3         0.2         0.5    0.433333           0
           1         0.3        0.55    0.466667           0
           2         0.3        0.55         0.5           1
           1         0.3         0.5         0.5           1
           2         0.3        0.45         0.5           1
           3         0.3        0.45         0.5           1
           4         0.3         0.4         0.5           1
           5         0.2        0.35    0.466667           1
           6         0.2         0.3    0.433333           1
           7         0.2        0.25    0.433333           2
           1         0.2         0.2         0.4           1
           1         0.1         0.2         0.4           0
           1         0.1         0.2         0.4           0
           2         0.2        0.25         0.4           1
           1         0.2        0.25    0.366667           0
           1         0.3         0.3         0.4           1
           1         0.3         0.3    0.366667           0
           1         0.4         0.3    0.366667           0
           2         0.5        0.35    0.366667           0
           3         0.6         0.4    0.366667           2
           1         0.6         0.4    0.333333           0
           1         0.7         0.4    0.366667           1
           1         0.6        0.35    0.333333           2
           1         0.5        0.35    0.333333           0
           1         0.6         0.4    0.366667           1
           1         0.5         0.4    0.366667           1
           2         0.5         0.4    0.366667           2
           1         0.4         0.4    0.333333           1
           1         0.3         0.4    0.333333           1
           2         0.2         0.4    0.333333           2
           1         0.2         0.4    0.333333           1
           1         0.1         0.4         0.3           0
           1         0.2         0.4         0.3           1
           1         0.2        0.35         0.3           0
           1         0.2         0.4    0.333333           0
           2         0.3         0.4    0.366667           0
           3         0.4        0.45         0.4           1
           1         0.4         0.4         0.4           1
           2         0.4        0.35         0.4           0
The Way To Read This is A      A      A      A    -> B
                        B      B      B      B    -> C
this means that the 4 data descriptors are from the previous hands and are used to imply the C and does not include the C in their tallies

STREAK COUNT BANK LAST10 BANK LAST20 BANK LAST30       LABEL
           0           0           0           0           0
           1         0.5         0.5         0.5           1
           1    0.333333    0.333333    0.333333           0
           1         0.5         0.5         0.5           0
           2         0.6         0.6         0.6           2
           1         0.5         0.5         0.5           0
           1    0.571429    0.571429    0.571429           1
           1         0.5         0.5         0.5           1
           2    0.444444    0.444444    0.444444           0
           1         0.5         0.5         0.5           0
           2         0.6    0.545455    0.545455           0
           3         0.6    0.583333    0.583333           0
           4         0.7    0.615385    0.615385           1
           1         0.6    0.571429    0.571429           0
           1         0.6         0.6         0.6           0
           2         0.7       0.625       0.625           0
           3         0.7    0.647059    0.647059           0
           4         0.8    0.666667    0.666667           1
           1         0.8    0.631579    0.631579           1
           2         0.7         0.6         0.6           0
           1         0.7        0.65    0.619048           0
           2         0.7        0.65    0.636364           0
           3         0.7         0.7    0.652174           0
           4         0.8         0.7    0.666667           1
           1         0.7        0.65        0.64           0
           1         0.7         0.7    0.653846           1
           1         0.6        0.65     0.62963           1
           2         0.5        0.65    0.607143           1
           3         0.5        0.65    0.586207           1
           4         0.5         0.6    0.566667           1
           5         0.4        0.55    0.566667           1
           6         0.3         0.5    0.533333           0
           1         0.3         0.5    0.566667           1
           1         0.2         0.5    0.533333           0
           1         0.3         0.5    0.533333           0
           2         0.3         0.5    0.566667           2
           1         0.3        0.45    0.533333           0
           1         0.4        0.45    0.566667           0
           2         0.5         0.5         0.6           0
           3         0.6        0.55         0.6           0
           4         0.7        0.55         0.6           2
           1         0.7         0.5    0.566667           1
           1         0.6        0.45    0.533333           1
           2         0.6         0.4    0.533333           2
           1         0.5         0.4         0.5           0
           1         0.5         0.4         0.5           1
           1         0.5         0.4    0.466667           0
